Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-11-25 08:01:57,false,"Saanich Running","3.95","270","00:20:25","--","--","--","182","193","5:10","4:32","44","46","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-24 09:04:10,false,"Saanich Running","16.76","1,029","01:17:21","161","181","5.0","186","207","4:37","3:55","30","30","1.14","8.6","10.0","216","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-22 14:50:10,false,"Saanich Running","12.72","732","01:10:01","142","180","3.4","173","256","5:30","2:28","56","56","1.07","8.3","8.8","243","49.9% L / 50.1% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.34","25","0.0"
Running,2019-11-21 07:49:23,false,"Saanich Running","8.18","560","00:40:50","--","--","--","181","191","4:59","4:20","62","62","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-19 15:26:49,false,"Saanich Running","16.00","1,075","01:21:22","--","--","--","176","205","5:05","2:57","4","4","1.10","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:12.80","16","0.0"
Running,2019-11-17 09:06:17,false,"Saanich Running","12.24","826","01:00:04","--","--","--","182","197","4:55","3:47","21","21","1.12","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-15 16:23:11,false,"Saanich Running","2.20","143","00:11:27","151","162","2.6","180","256","5:11","4:51","--","--","1.04","10.1","10.6","228","49.6% L / 50.4% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-15 16:07:47,false,"Saanich Running","1.93","119","00:10:14","150","178","2.5","159","214","5:18","2:57","--","--","1.19","6.0","7.5","234","50.5% L / 49.5% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:08.08","10","0.0"
Running,2019-11-15 14:50:09,false,"Saanich Running","11.31","653","00:54:04","150","176","4.5","181","206","4:47","3:48","94","94","1.14","9.2","10.5","224","49.9% L / 50.1% R","0.0","0.0","0.0","0:00","0.0","0:00","No","05:02.92","2","0.0"
Running,2019-11-14 13:54:15,false,"Saanich Running","5.39","361","00:25:54","--","--","--","183","191","4:48","4:01","46","49","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-12 06:01:56,false,"Oak Bay Running","10.85","626","00:52:02","155","187","5.0","179","221","4:48","3:36","28","22","1.16","8.8","10.2","228","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:10.09","5","0.0"
Running,2019-11-09 13:00:02,false,"Kingston Running","8.09","538","00:30:59","--","--","--","187","211","3:50","2:49","1","2","1.40","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-09 12:12:28,false,"Kingston Running","3.96","263","00:26:30","--","--","--","174","206","6:42","3:40","--","--","0.86","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-08 15:20:24,false,"Kingston Running","4.62","309","00:21:53","--","--","--","180","191","4:44","3:40","1","1","1.17","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","01:00.31","5","0.0"
Running,2019-11-05 15:29:53,false,"Saanich Running","11.62","764","00:56:08","--","--","--","180","211","4:50","3:04","2","2","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.61","17","0.0"
Running,2019-11-03 09:02:32,false,"Running","10.46","706","00:50:32","--","--","--","182","197","4:50","4:06","--","--","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-11-01 14:46:12,false,"Saanich Running","16.48","757","01:22:11","151","186","3.8","180","256","4:59","2:55","7","7","1.14","8.1","9.3","224","50.0% L / 50.0% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.37","13","0.0"
Running,2019-10-31 09:34:01,false,"Oak Bay Running","4.10","270","00:19:48","--","--","--","185","191","4:50","4:01","29","43","1.12","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-29 15:35:03,false,"Saanich Running","13.42","866","01:03:28","--","--","--","182","204","4:44","2:58","2","2","1.15","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:38.09","25","0.0"
Running,2019-10-28 08:05:07,false,"Saanich Running","5.24","349","00:27:44","--","--","--","179","190","5:18","4:38","--","--","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-27 09:05:01,false,"Colwood Running","12.58","838","01:05:06","--","--","--","182","197","5:11","4:11","96","119","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-26 11:28:34,false,"Calgary Running","8.09","536","00:33:40","--","--","--","185","197","4:10","2:46","55","55","1.30","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-26 10:43:51,false,"Calgary Running","3.63","241","00:18:32","--","--","--","175","187","5:07","4:21","22","16","1.12","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-25 13:31:20,false,"Calgary Running","4.11","251","00:20:10","--","--","--","178","188","4:54","3:59","9","19","1.15","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.96","5","0.0"
Running,2019-10-22 15:31:30,false,"Saanich Running","11.74","568","00:56:45","152","182","3.5","180","256","4:50","2:53","2","2","1.16","8.4","9.8","230","50.1% L / 49.9% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:14.78","17","0.0"
Running,2019-10-21 09:26:45,false,"Saanich Running","5.09","335","00:26:12","--","--","--","184","197","5:09","4:23","47","47","1.06","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:27.62","6","0.0"
Running,2019-10-20 09:05:47,false,"Saanich Running","13.85","599","01:05:06","158","182","4.7","183","196","4:42","3:43","32","32","1.12","8.6","9.8","219","49.8% L / 50.2% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.93","16","0.0"
Running,2019-10-18 15:34:45,false,"Saanich Running","18.76","881","01:22:42","157","181","4.3","179","240","4:24","0:56","31","31","1.11","8.3","9.0","225","49.5% L / 50.5% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:30.50","26","0.0"
Running,2019-10-17 08:02:35,false,"Saanich Running","5.32","376","00:26:11","--","--","--","180","204","4:55","3:14","40","46","1.13","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-15 15:34:16,false,"Saanich Running","19.50","1,013","01:26:06","160","184","5.0","183","202","4:25","2:49","6","6","1.13","8.7","9.9","220","50.0% L / 50.0% R","0.0","0.0","0.0","0:00","0.0","0:00","No","03:00.15","11","0.0"
Running,2019-10-13 10:03:10,false,"Running","12.00","806","00:51:46","--","--","--","182","197","4:19","3:43","--","--","1.27","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-12 10:48:43,false,"Whatcom County Running","3.51","242","00:19:21","--","--","--","175","186","5:31","3:57","6","4","1.03","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-12 10:00:52,false,"Whatcom County Running","6.65","458","00:24:48","--","--","--","186","204","3:44","3:01","14","14","1.45","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-12 09:20:08,false,"Whatcom County Running","4.91","340","00:24:20","--","--","--","182","221","4:57","3:37","17","21","1.11","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","01:04.60","5","0.0"
Running,2019-10-11 15:59:11,false,"Whatcom County Running","4.60","315","00:20:37","--","--","--","178","191","4:29","3:26","9","10","1.26","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:36.81","5","0.0"
Running,2019-10-08 15:30:45,false,"Saanich Running","10.19","700","00:47:35","--","--","--","177","195","4:40","3:11","1","1","1.21","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:59.53","9","0.0"
Running,2019-10-06 09:18:03,false,"Langford Running","8.10","425","00:42:22","144","180","3.2","174","206","5:14","3:40","285","319","1.01","9.9","9.6","240","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","0.0","0:00","No","01:05.88","5","0.0"
Running,2019-10-04 15:49:53,false,"Saanich Running","18.78","1,255","01:14:29","--","--","--","184","193","3:58","3:20","10","7","1.37","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","09:13.24","4","0.0"
Running,2019-10-03 09:26:38,false,"Saanich Running","8.88","604","00:40:01","--","--","--","180","211","4:30","3:31","--","--","1.23","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-01 16:51:31,false,"Saanich Running","4.65","294","00:24:28","152","167","3.2","182","226","5:16","4:19","4","--","1.04","9.1","9.6","214","47.2% L / 52.8% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-10-01 16:17:08,false,"Saanich Running","7.86","440","00:32:59","169","183","4.4","185","240","4:12","3:03","2","3","1.27","8.1","10.2","211","50.0% L / 50.0% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:52.46","10","0.0"
Running,2019-10-01 15:31:39,false,"Saanich Running","5.35","268","00:24:02","144","173","3.0","182","194","4:30","3:01","--","2","1.26","7.9","10.0","228","49.4% L / 50.6% R","0.0","0.0","0.0","0:00","0.0","0:00","No","04:01.79","2","0.0"
Running,2019-09-30 07:57:20,false,"Saanich Running","6.31","429","00:29:50","--","--","--","179","197","4:44","4:04","14","--","1.18","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-29 09:04:47,false,"Saanich Running","12.36","883","01:00:02","--","--","--","182","193","4:52","3:50","34","34","1.13","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-28 11:59:01,false,"Saanich Running","6.69","476","00:25:27","--","--","--","187","211","3:48","2:52","2","11","1.41","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-28 11:14:08,false,"Saanich Running","4.43","307","00:23:53","--","--","--","176","188","5:24","3:40","4","9","1.05","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:59.78","5","0.0"
Running,2019-09-27 15:38:38,false,"Saanich Running","5.50","382","00:25:46","--","--","--","177","193","4:41","3:17","10","17","1.20","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-26 11:28:30,false,"Saanich Running","8.13","564","00:38:21","--","--","--","184","211","4:43","3:39","44","45","1.15","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-24 17:07:14,false,"Saanich Running","2.13","147","00:11:10","--","--","--","176","185","5:15","4:22","--","--","1.08","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-24 16:25:14,false,"Saanich Running","6.25","430","00:29:38","--","--","--","179","197","4:45","3:12","1","1","1.17","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:27.76","8","0.0"
Running,2019-09-24 15:36:07,false,"Saanich Running","4.96","331","00:22:13","--","--","--","176","190","4:29","3:07","--","1","1.26","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","02:09.57","3","0.0"
Running,2019-09-22 09:09:09,false,"Colwood Running","17.04","1,168","01:11:51","--","--","--","181","211","4:13","2:26","130","137","1.31","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","06:20.15","3","0.0"
